State,Bachelors Degree Rate
Alabama,26
Alaska,30
Arizona,30
Arkansas,23
California,35
Colorado,43
Connecticut,40
Delaware,33
District of Columbia,60
Florida,31
Georgia,33
Hawaii,34
Idaho,29
Illinois,36
Indiana,27
Iowa,29
Kansas,34
Kentucky,25
Louisiana,25
Maine,33
Maryland,41
Massachusetts,45
Michigan,30
Minnesota,37
Mississippi,22
Missouri,30
Montana,34
Nebraska,33
Nevada,26
New Hampshire,38
New Jersey,41
New Mexico,28
New York,38
North Carolina,32
North Dakota,30
Ohio,29
Oklahoma,26
Oregon,35
Pennsylvania,32
Rhode Island,35
South Carolina,30
South Dakota,30
Tennessee,29
Texas,31
Utah,35
Vermont,39
Virginia,40
Washington,37
West Virginia,21
Wisconsin,31
Wyoming,29
Puerto Rico,27
