State,MobileHomeRate
Alabama,13
Alaska,4
Arizona,10
Arkansas,12
California,4
Colorado,4
Connecticut,1
Delaware,8
District of Columbia,0
Florida,9
Georgia,9
Hawaii,0
Idaho,8
Illinois,2
Indiana,5
Iowa,4
Kansas,5
Kentucky,11
Louisiana,13
Maine,8
Maryland,1
Massachusetts,1
Michigan,5
Minnesota,3
Mississippi,15
Missouri,6
Montana,10
Nebraska,3
Nevada,5
New Hampshire,6
New Jersey,1
New Mexico,17
New York,2
North Carolina,12
North Dakota,7
Ohio,4
Oklahoma,9
Oregon,7
Pennsylvania,4
Rhode Island,1
South Carolina,15
South Dakota,8
Tennessee,9
Texas,7
Utah,3
Vermont,6
Virginia,5
Washington,6
West Virginia,14
Wisconsin,3
Wyoming,13
Puerto Rico,0
