State,NoVehiclesRate
Alabama,6
Alaska,10
Arizona,6
Arkansas,6
California,7
Colorado,5
Connecticut,9
Delaware,6
District of Columbia,35
Florida,6
Georgia,6
Hawaii,8
Idaho,4
Illinois,11
Indiana,7
Iowa,6
Kansas,5
Kentucky,7
Louisiana,9
Maine,6
Maryland,9
Massachusetts,12
Michigan,8
Minnesota,7
Mississippi,7
Missouri,7
Montana,5
Nebraska,5
Nevada,7
New Hampshire,5
New Jersey,12
New Mexico,6
New York,29
North Carolina,6
North Dakota,5
Ohio,8
Oklahoma,6
Oregon,8
Pennsylvania,11
Rhode Island,10
South Carolina,6
South Dakota,5
Tennessee,6
Texas,5
Utah,4
Vermont,7
Virginia,6
Washington,7
West Virginia,9
Wisconsin,7
Wyoming,4
Puerto Rico,15
